city,location,price,bedrooms,baths,size,title,page_url,date_added,property_type,latitude,longitude,number_of_photos,province,agency,purpose
Multan,"Buch Executive Villas - Phase 2, Buch Executive Villas",15000000,3,4,900,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_4_75_marla_brand_new_luxury_house_available_for_sale_in_buch_executive_villas_phase_2_multan-47672672-19720-1.html,Added: 3 days ago,Houses_Property,30.29016,71.489037,21,Punjab,excutivebuilders165@gmail. com,Buy
Multan,"Buch Executive Villas - Phase 2, Buch Executive Villas",13000000,3,4,922,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_4_1_marla_brand_new_luxury_spanish_house_available_for_sale_in_buch_executive_villas_phase_2_multan-47672613-19720-1.html,Added: 3 days ago,Houses_Property,30.29016,71.489037,13,Punjab,excutivebuilders165@gmail. com,Buy
Multan,"Shah Rukn-e-Alam Colony, Multan",10000000,0,0,1125,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_shah_rukn-e-alam_colony_reserve_a_centrally_located_prime_location_house_in_shah_rukn-e-alam_colony-47625585-658-1.html,Added: 3 days ago,Houses_Property,30.190059,71.50892,17,Punjab,Punjab Property Dealer,Buy
Multan,"Wapda Town Phase 1 - Block C, Wapda Town Phase 1",26000000,0,0,2250,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/wapda_town_phase_1_wapda_town_phase_1_-_block_c_prime_location_house_sized_10_marla_in_wapda_town_phase_1_-_block_c-47670353-14202-1.html,Added: 3 days ago,Houses_Property,30.24134,71.511043,40,Punjab,Muhammad Real Estate,Buy
Multan,"Wapda Town Phase 1 - Block D, Wapda Town Phase 1",36000000,0,0,2250,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/wapda_town_phase_1_wapda_town_phase_1_-_block_d_a_stunning_prime_location_house_is_up_for_grabs_in_wapda_town_phase_1_-_block_d_multan-47670334-14203-1.html,Added: 3 days ago,Houses_Property,30.240541,71.507038,5,Punjab,Muhammad Real Estate,Buy
Multan,"Buch Executive Villas, Multan",35000000,5,6,2475,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_luxurious_for_sale_in_buch_villas_multan-47457773-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,19,Punjab,,Buy
Multan,"Buch Executive Villas - Phase 2, Buch Executive Villas",15500000,4,5,1125,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_5_marla_spenish_house_for_sale_in_buch_villas_multan-47455665-19720-1.html,Added: 21 hours ago,Houses_Property,30.29016,71.489037,16,Punjab,,Buy
Multan,"Buch Executive Villas, Multan",30000000,5,6,2250,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_luxury_house_for_sale_in_buch_villas_multan-47457243-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,27,Punjab,,Buy
Multan,"Buch Executive Villas, Multan",14500000,3,4,1125,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_luxurious_house_for_sale_in_buch_villas_multan-47454841-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,22,Punjab,,Buy
Multan,"Buch Executive Villas, Multan",13500000,4,5,1125,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_luxurious_for_sale_in_buch_villas_multan-47456637-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,22,Punjab,,Buy
Multan,"Buch Executive Villas, Multan",14000000,4,5,1125,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_luxurious_for_sale_in_buch_villas_multan-47456796-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,18,Punjab,,Buy
Multan,"Buch Executive Villas, Multan",15000000,4,5,1125,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_luxurious_for_sale_in_buch_villas_multan-47456352-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,15,Punjab,,Buy
Multan,"Buch Executive Villas - Phase 2, Buch Executive Villas",32000000,5,6,2025,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_9_marla_house_for_sale_in_buch_villas_multan-47070458-19720-1.html,Added: 21 hours ago,Houses_Property,30.29016,71.489037,41,Punjab,ASKARI PROPERTY ADVISOR,Buy
Multan,"DHA Villas, DHA Defence",14000000,3,4,1350,6 MARLA villa 60ft road facing available for sale,https://www.zameen.com/Property/dha_defence_dha_villas_6_marla_villa_60ft_road_facing_available_for_sale-47377939-14018-1.html,Added: 4 weeks ago,Houses_Property,30.289476,71.522677,13,Punjab,The Professionals Real Estate  Consultant,Buy
Multan,"Buch Executive Villas, Multan",31000000,6,6,2475,6 MARLA villa 60ft road facing available for sale,https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_triple_storey_house_available_for_sale-44858105-8627-1.html,Added: 4 weeks ago,Houses_Property,30.286812,71.489983,47,Punjab,ASKARI PROPERTY ADVISOR,Buy
Multan,"Buch Executive Villas, Multan",14800000,3,4,1125,6 MARLA villa 60ft road facing available for sale,https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_beautiful_luxrious_double_story_house_available_for_sale_in_buch_villas_multan-47320468-8627-1.html,Added: 4 weeks ago,Houses_Property,30.286812,71.489983,21,Punjab,ASKARI PROPERTY ADVISOR,Buy
Multan,"DHA Villas, DHA Defence",22000000,4,5,2025,6 MARLA villa 60ft road facing available for sale,https://www.zameen.com/Property/dha_defence_dha_villas_9_marla_villa_f-130_brand_new_60feet_road_near_main_park_and_masjid-47315969-14018-1.html,Added: 4 weeks ago,Houses_Property,30.2895,71.5227,25,Punjab,Jinnah Associates,Buy
